Time,Quadrant Number,Ball Colour,Event Type
5.67, 1, blue, Entry
5.67, 4, blue, Exit
5.67, 1, green, Entry
5.67, 4, green, Exit
5.67, 1, red, Entry
5.67, 4, red, Exit
5.69, 1, blue, Exit
5.69, 4, blue, Entry
5.70, 1, green, Exit
5.70, 4, green, Entry
5.70, 1, red, Exit
5.70, 4, red, Entry
5.77, 3, blue, Entry
5.77, 4, blue, Exit
5.77, 3, blue, Exit
5.77, 4, blue, Entry
5.78, 3, green, Entry
5.78, 4, green, Exit
5.78, 3, green, Exit
5.78, 4, green, Entry
5.78, 3, red, Entry
5.78, 4, red, Exit
5.78, 3, red, Exit
5.78, 4, red, Entry
5.89, 3, blue, Entry
5.89, 4, blue, Exit
5.89, 3, blue, Exit
5.89, 4, blue, Entry
5.89, 3, green, Entry
5.89, 4, green, Exit
5.89, 3, green, Exit
5.89, 4, green, Entry
5.90, 3, red, Entry
5.90, 4, red, Exit
5.90, 3, red, Exit
5.90, 4, red, Entry
